STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!
STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,
🔍 Résumé,,Valeur,AFFICHÉ ONLINE,PRÉPARATION BODY,PREP MÉCANIQUE,PREP STUCTUREL,,,,,,,,,,,,,,,,,,,,
TOTAL DES VÉHICULES ACHETÉS,,95,,,,,,,,,,,,,,,,,,,,,,,,
VÉHICULE VENDU/LIVRÉ,,58,,,,,,,,,,,,,,,,,,,,,,,,
EN INVENTAIRE,,37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK,MODÈLE,ANNÉE,6 DERNIERS NIV, COÛTANT, PAD,ACHETE DE... ,DATE,VENDU,LIVRÉ,FACTURE,,ONGLETS,,FACTURE MÉCANIQUE,,FACTURE BODY,,FACTURE AUTRE,,AUTRES FRAIS,, TOTAL COST, VENTE,PROFIL/ PERTE,DATE J/M/A,
,,,,,,,ACHAT,,,LIEN,TOTAL,FACTURE,MONTANT,NO FACTURE,MONTANT,NO FACTURE, MONTANT,NO FACTURE, MONTANT,FACTURES AUTRES, MONTANT,,,,VENTE,
MR036,avéo,2008,092642,"  500,00 $ ",  -   $ ,VOLVO TROIS-RIVIÈRES,4 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  500,00 $ ","  700,00 $ ","  200,00 $ ",4 juillet2025,
MR037,XC60,2016,843796,"  6 500,00 $ ",  -   $ ,VOLVO TROIS-RIVIÈRES,4 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,point s 7304,"  90,00 $ ",,,,,marketplace,"  450,00 $ ","  7 040,00 $ ","  10 995,00 $ ","  3 955,00 $ ",14july2025,
MR038,COROLLA,2011,657719,"  2 900,00 $ ",  -   $ ,NISSAN SHAWINIGAN,7 juillet 2025,TRUE,FALSE,FALSE,FALSE,#ERROR!,,chez raf 4867,"  797,97 $ ",j leblanc 465852,"  123,23 $ ",,,,,"  3 821,20 $ ","  5 695,00 $ ","  1 873,80 $ ",",",
MR039,CIVIC,2010,036421,"  5 250,00 $ ",  -   $ ,VOLVO TROIS-RIVIÈRES,8 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,logis 6870,"  182,95 $ ",,,chez raf 4837,"  665,33 $ ",,,"  6 098,28 $ ","  7 995,00 $ ","  1 896,72 $ ",14july2025,
MR040,YARIS,2009,273618,"  1 200,00 $ ",  -   $ ,NISSAN TROIS-RIVIÈRES,8 juillet 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,chez raf 4828,"  1 552,41 $ ",chez raf 4853,"  710,11 $ ",,,entrepot du pneu 293076,"  306,00 $ ","  3 768,52 $ ","  4 750,00 $ ","  981,48 $ ",,
MR041,TUCSON,2022,060728,"  28 649,00 $ ",  -   $ ,HYUNDAI TROIS-RIVIÈRES,9 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,point s 7270,"  259,39 $ ",lt 20786,"  100,00 $ ",x boss ,"  300,00 $ ",hyundai ft40169,"  71,28 $ ","  29 379,67 $ ","  29 700,00 $ ","  320,33 $ ",10july2025,
MR042,SANTA FE,2012,121467,"  2 700,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,15 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,meca st-bo 019753,"  1 266,62 $ ",pieces  jl 458889,"  101,81 $ ",,,,,"  4 068,43 $ ","  5 995,00 $ ","  1 926,57 $ ",26 JULY2025,
MR043,EQUINOX,2011,222382,"  2 500,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,15 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,meca st-bo 019726,"  371,85 $ ",deb st-bo 182664,"  800,00 $ ",chez raf 4861,"  99,99 $ ",,,"  3 771,84 $ ","  6 995,00 $ ","  3 223,16 $ ",26 JULY 2025,
MR044,FIAT 500,2012,379539,"  5 500,00 $ ",  -   $ ,ACHAT PORTE,24 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  5 500,00 $ ","  5 500,00 $ ",  -   $ ,22 july 2025,
MR045,CIVIC,2012,030082,"  5 500,00 $ ",,ACHAT PORTE,24 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,j leblanc 466269,"  88,16 $ ",entrepot du pneu 293889,"  350,00 $ ","  5 938,16 $ ","  6 995,00 $ ","  1 056,84 $ ",18 septembre 2025,
